"Country or Area","Mobile phone subscriptions per 100 inhabitants"
"Afghanistan","74.8828424132874"
"Albania","105.469965746985"
"Algeria","92.9479307330594"
"Andorra","82.6431948897733"
"Angola","63.4792082001473"
"Antigua and Barbuda","132.05394761449"
"Argentina","158.798561112357"
"Armenia","115.923210198426"
"Aruba","135.065889336853"
"Australia","131.230546848819"
"Austria","151.911251474679"
"Azerbaijan","110.905363353238"
"Bahamas","82.2963580616408"
"Bahrain","173.27393347722"
"Bangladesh","80.0353505087956"
"Barbados","128.730432837177"
"Belarus","122.501138584571"
"Belgium","114.269957521343"
"Belize","50.7125660028609"
"Benin","99.6522197724235"
"Bermuda","90.8800659934923"
"Bhutan","82.0700618638577"
"Bolivia","96.3372482776015"
"Bosnia and Herzegovina","91.2789502884636"
"Botswana","167.297593872619"
"Brazil","138.951490610451"
"Brunei Darussalam","110.057064543188"
"Bulgaria","137.706595342242"
"Burkina Faso","71.737469513534"
"Burundi","30.4620103575855"
"Cambodia","132.733798148657"
"Cameroon","75.6851330964976"
"Canada","81.0393164964622"
"Cape Verde","121.789701709763"
"Cayman Islands","153.74835376355"
"Central African Rep.","24.5396089317025"
"Chad","39.7509799679755"
"Chile","133.255628761386"
"China","92.2734908227189"
"Colombia","113.081145429323"
"Comoros","50.9012038201154"
"Congo","108.149574188884"
"Congo (Democratic Republic of the)","53.4932163754393"
"Costa Rica","143.828359244231"
"Cote d'Ivoire","106.247609322745"
"Croatia","104.431321400248"
"Cuba","22.4783958427502"
"Curacao","121.596554536691"
"Cyprus","96.3353101058229"
"Czech Republic","129.539048019137"
"Dem. People's Rep. of Korea","11.1881012305793"
"Denmark","125.888127054011"
"Djibouti","32.3868655881162"
"Dominica","127.45192905821"
"Dominican Rep.","78.8638263591996"
"Ecuador","103.899164782894"
"Egypt","114.305985751523"
"El Salvador","144.011578144013"
"Equatorial Guinea","66.3881109578812"
"Eritrea","6.38599694989853"
"Estonia","160.687848533734"
"Ethiopia","31.5938803866051"
"Faroe Islands","124.116457743631"
"Fiji","98.7767001455424"
"Finland","139.663896204958"
"France","101.212415676367"
"French Polynesia","91.1690817803348"
"Gabon","171.375053030046"
"Gambia","119.630488738859"
"Georgia","124.935540091449"
"Germany","120.420185505886"
"Ghana","114.819478940048"
"Gibraltar","129.538094426453"
"Greece","110.264463799122"
"Greenland","106.360646560773"
"Grenada","110.204791962597"
"Guatemala","106.633770318935"
"Guinea","72.098750753286"
"Guinea-Bissau","63.4836905529735"
"Guyana","70.5389105324652"
"Haiti","64.7074595783417"
"Honduras","93.5156364150515"
"Hong Kong, China","233.615177429955"
"Hungary","118.053828318504"
"Iceland","111.080192714665"
"India","74.4837699065089"
"Indonesia","128.784434076759"
"Iran (Islamic Rep. of)","87.7927311076041"
"Iraq","94.9127867973207"
"Ireland","105.067581146549"
"Israel","121.450652618278"
"Italy","154.248656431979"
"Jamaica","107.383531088091"
"Japan","120.232998305005"
"Jordan","147.803889024802"
"Kazakhstan","172.191305313377"
"Kenya","73.8432480759004"
"Kiribati","17.4135575609475"
"Korea (Rep. of)","115.709981247788"
"Kuwait","218.430285244086"
"Kyrgyzstan","134.460868104352"
"Lao P.D.R.","66.9933325577907"
"Latvia","116.799135372844"
"Lebanon","88.3477845166066"
"Lesotho","85.0224861752811"
"Liberia","73.3534491444261"
"Libya","161.12060986476"
"Liechtenstein","109.297198472872"
"Lithuania","147.043250860041"
"Luxembourg","149.489251268255"
"Macao, China","322.59153647123"
"Madagascar","41.2094801442493"
"Malawi","33.4688086334041"
"Malaysia","148.829848890429"
"Maldives","189.383113558531"
"Mali","149.069131234602"
"Malta","126.986883523269"
"Marshall Islands","29.3716364738877"
"Mauritania","94.1992848711882"
"Mauritius","132.249824080515"
"Mexico","82.2200092302685"
"Moldova","107.995221559031"
"Monaco","88.4647717122892"
"Mongolia","105.060985661559"
"Montenegro","163.029368892207"
"Morocco","131.71305603822"
"Mozambique","69.8169986700022"
"Myanmar","54.0392872102992"
"Namibia","113.756245772977"
"Nepal","81.8660533115416"
"Netherlands","116.423407687313"
"New Caledonia","93.5633351807377"
"New Zealand","112.054689719466"
"Nicaragua","114.565599263057"
"Niger","44.4374857632685"
"Nigeria","77.8415471511874"
"Norway","116.1330373352"
"Oman","157.753256596473"
"Pakistan","73.3321910549828"
"Palau","90.6005593212305"
"Palestine","72.0751526402761"
"Panama","158.054282495466"
"Papua New Guinea","44.9284574273138"
"Paraguay","105.604533030992"
"Peru","103.610657544261"
"Philippines","111.218723380687"
"Poland","148.88670210677"
"Portugal","112.113913041511"
"Puerto Rico","87.1110633317778"
"Qatar","145.764746136982"
"Romania","105.914150019538"
"Russia","155.144239024479"
"Rwanda","64.0246911396805"
"Saint Kitts and Nevis","118.636952672982"
"Saint Lucia","102.588808156952"
"Samoa","55.5301280814884"
"San Marino","118.848184088251"
"Sao Tome and Principe","64.9376901385674"
"Saudi Arabia","179.55746363191"
"Senegal","98.8421774805919"
"Serbia","122.132822025314"
"Seychelles","162.193213726877"
"Sierra Leone","76.6560382584021"
"Singapore","146.885085684477"
"Slovak Republic","116.940134070288"
"Slovenia","112.083010533862"
"Solomon Islands","65.7565045865954"
"Somalia","50.8992933419745"
"South Africa","149.193517488526"
"South Sudan","24.5009463554708"
"Spain","107.849270058927"
"Sri Lanka","103.157848107611"
"St. Vincent and the Grenadines","105.162245933566"
"Sudan","72.1989896103896"
"Suriname","170.57498736039"
"Swaziland","72.3197213229587"
"Sweden","127.839262169305"
"Switzerland","136.677398191887"
"Syria","63.8558914139353"
"T.F.Y.R. Macedonia","105.501950736898"
